"PERIOD";"COMPONENT";"MEASURE";"GENDER";"POPULATION_GROUP";"AGE";"VALUE";"STATUS";"UNIT_MEASURE"
2014;"ALV+SH";"Absolut";"Total";"Total";"Total";11986;"A";"n"
2014;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"Total";1.7462;"A";"%"
2014;"ALV+SH";"in % ALV";"Total";"Total";"Total";3.9886;"A";"%"
2014;"ALV+SH";"in % SH";"Total";"Total";"Total";6.6603;"A";"%"
2014;"ALV+SH";"Absolut";"M";"Total";"Total";6117;"A";"n"
2014;"ALV+SH";"in % aller Beziehenden";"M";"Total";"Total";1.6701;"A";"%"
2014;"ALV+SH";"in % ALV";"M";"Total";"Total";3.6836;"A";"%"
2014;"ALV+SH";"in % SH";"M";"Total";"Total";6.7567;"A";"%"
2014;"ALV+SH";"Absolut";"F";"Total";"Total";5869;"A";"n"
2014;"ALV+SH";"in % aller Beziehenden";"F";"Total";"Total";1.8333;"A";"%"
2014;"ALV+SH";"in % ALV";"F";"Total";"Total";4.3655;"A";"%"
2014;"ALV+SH";"in % SH";"F";"Total";"Total";6.5627;"A";"%"
2014;"ALV+SH";"Absolut";"Total";"CH";"Total";6004;"A";"n"
2014;"ALV+SH";"in % aller Beziehenden";"Total";"CH";"Total";1.4057;"A";"%"
2014;"ALV+SH";"in % ALV";"Total";"CH";"Total";3.6558;"A";"%"
2014;"ALV+SH";"in % SH";"Total";"CH";"Total";6.2866;"A";"%"
2014;"ALV+SH";"Absolut";"Total";"AUSL";"Total";5982;"A";"n"
2014;"ALV+SH";"in % aller Beziehenden";"Total";"AUSL";"Total";2.3072;"A";"%"
2014;"ALV+SH";"in % ALV";"Total";"AUSL";"Total";4.3898;"A";"%"
2014;"ALV+SH";"in % SH";"Total";"AUSL";"Total";7.0828;"A";"%"
2014;"ALV+SH";"Absolut";"Total";"Total";"18-24";1731;"A";"n"
2014;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"18-24";2.5435;"A";"%"
2014;"ALV+SH";"in % ALV";"Total";"Total";"18-24";4.6225;"A";"%"
2014;"ALV+SH";"in % SH";"Total";"Total";"18-24";6.6795;"A";"%"
2014;"ALV+SH";"Absolut";"Total";"Total";"25-39";5131;"A";"n"
2014;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"25-39";2.4661;"A";"%"
