"PERIOD";"COMPONENT";"GENDER";"POPULATION_GROUP";"AGE";"VALUE";"UNIT_MEASURE"
2016;"Total";"M";"Total";"Total";13.9348;"%"
2016;"Total";"F";"Total";"Total";332365;"n"
2016;"Total";"F";"Total";"Total";12.272;"%"
2016;"Total";"Total";"CH";"Total";440296;"n"
2016;"Total";"Total";"CH";"Total";11.2426;"%"
2016;"Total";"Total";"AUSL";"Total";277287;"n"
2016;"Total";"Total";"AUSL";"Total";17.8156;"%"
2016;"Total";"Total";"Total";"18-24";70074;"n"
2016;"Total";"Total";"Total";"18-24";10.3489;"%"
2016;"Total";"Total";"Total";"25-39";225388;"n"
2016;"Total";"Total";"Total";"25-39";12.8425;"%"
2016;"Total";"Total";"Total";"40-54";244890;"n"
2016;"Total";"Total";"Total";"40-54";12.9029;"%"
2016;"Total";"Total";"Total";"55-65";177231;"n"
2016;"Total";"Total";"Total";"55-65";15.5103;"%"
2016;"ALV";"Total";"Total";"Total";329362;"n"
2016;"ALV";"Total";"Total";"Total";6.0182;"%"
2016;"ALV";"M";"Total";"Total";183213;"n"
2016;"ALV";"M";"Total";"Total";6.6275;"%"
2016;"ALV";"F";"Total";"Total";146149;"n"
2016;"ALV";"F";"Total";"Total";5.3963;"%"
2016;"ALV";"Total";"CH";"Total";177492;"n"
2016;"ALV";"Total";"CH";"Total";4.5321;"%"
2016;"ALV";"Total";"AUSL";"Total";151870;"n"
2016;"ALV";"Total";"AUSL";"Total";9.7576;"%"
2016;"ALV";"Total";"Total";"18-24";39464;"n"
2016;"ALV";"Total";"Total";"18-24";5.8283;"%"
2016;"ALV";"Total";"Total";"25-39";135771;"n"
2016;"ALV";"Total";"Total";"25-39";7.7362;"%"
2016;"ALV";"Total";"Total";"40-54";108423;"n"
2016;"ALV";"Total";"Total";"40-54";5.7126;"%"
2016;"ALV";"Total";"Total";"55-65";45704;"n"
2016;"ALV";"Total";"Total";"55-65";3.9998;"%"
2016;"SH";"Total";"Total";"Total";189243;"n"
2016;"SH";"Total";"Total";"Total";3.4579;"%"
2016;"SH";"M";"Total";"Total";96426;"n"
2016;"SH";"M";"Total";"Total";3.4881;"%"
2016;"SH";"F";"Total";"Total";92817;"n"
2016;"SH";"F";"Total";"Total";3.4271;"%"
2016;"SH";"Total";"CH";"Total";99437;"n"
2016;"SH";"Total";"CH";"Total";2.539;"%"
2016;"SH";"Total";"AUSL";"Total";89806;"n"
2016;"SH";"Total";"AUSL";"Total";5.77;"%"
2016;"SH";"Total";"Total";"18-24";25828;"n"
2016;"SH";"Total";"Total";"18-24";3.8144;"%"
2016;"SH";"Total";"Total";"25-39";66781;"n"
2016;"SH";"Total";"Total";"25-39";3.8051;"%"
2016;"SH";"Total";"Total";"40-54";66346;"n"
2016;"SH";"Total";"Total";"40-54";3.4957;"%"
2016;"SH";"Total";"Total";"55-65";30288;"n"
2016;"SH";"Total";"Total";"55-65";2.6506;"%"
2016;"IV";"Total";"Total";"Total";235910;"n"
2016;"IV";"Total";"Total";"Total";4.3106;"%"
2016;"IV";"M";"Total";"Total";125962;"n"
2016;"IV";"M";"Total";"Total";4.5565;"%"
2016;"IV";"F";"Total";"Total";109948;"n"
2016;"IV";"F";"Total";"Total";4.0596;"%"
2016;"IV";"Total";"CH";"Total";184682;"n"
2016;"IV";"Total";"CH";"Total";4.7157;"%"
2016;"IV";"Total";"AUSL";"Total";51228;"n"
2016;"IV";"Total";"AUSL";"Total";3.2914;"%"
2016;"IV";"Total";"Total";"18-24";8979;"n"
2016;"IV";"Total";"Total";"18-24";1.3261;"%"
2016;"IV";"Total";"Total";"25-39";35702;"n"
2016;"IV";"Total";"Total";"25-39";2.0343;"%"
2016;"IV";"Total";"Total";"40-54";83486;"n"
2016;"IV";"Total";"Total";"40-54";4.3987;"%"
2016;"IV";"Total";"Total";"55-65";107743;"n"
2016;"IV";"Total";"Total";"55-65";9.4291;"%"
2015;"Total";"Total";"Total";"Total";699932;"n"
2015;"Total";"Total";"Total";"Total";12.8966;"%"
2015;"Total";"M";"Total";"Total";375698;"n"
2015;"Total";"M";"Total";"Total";13.7219;"%"
2015;"Total";"F";"Total";"Total";324234;"n"
2015;"Total";"F";"Total";"Total";12.0564;"%"
2015;"Total";"Total";"CH";"Total";432175;"n"
2015;"Total";"Total";"CH";"Total";11.0591;"%"
2015;"Total";"Total";"AUSL";"Total";267757;"n"
2015;"Total";"Total";"AUSL";"Total";17.6226;"%"
2015;"Total";"Total";"Total";"18-24";69140;"n"
2015;"Total";"Total";"Total";"18-24";10.203;"%"
2015;"Total";"Total";"Total";"25-39";215371;"n"
2015;"Total";"Total";"Total";"25-39";12.4558;"%"
2015;"Total";"Total";"Total";"40-54";241630;"n"
2015;"Total";"Total";"Total";"40-54";12.7028;"%"
2015;"Total";"Total";"Total";"55-65";173791;"n"
2015;"Total";"Total";"Total";"55-65";15.5401;"%"
2015;"ALV";"Total";"Total";"Total";314326;"n"
2015;"ALV";"Total";"Total";"Total";5.7916;"%"
